state,FIPS,cases_4,deaths_4,cases_5,deaths_5,cases_6,deaths_6,cases_7,deaths_7,cases_8,deaths_8,cases_9,deaths_9,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,region,division,state_pop,region_pop,percentage_cases,per_deaths
Alabama,1,1108,28,7294,289,18534,646,38962,972,89349,1603,127616,2200,118134,2102,9482,98,South,6,4903185,126000000,2.602716398,0.044868794
Alaska,2,143,2,362,7,476,8,1174,12,3825,22,6109,36,6109,36,0,0,West,9,731545,78347268,0.835081916,0.004921092
Arizona,4,1413,29,7962,330,20123,918,84152,1726,177019,3753,202375,5046,,,,,West,8,7278717,78347268,2.780366375,0.069325404
Arkansas,5,624,10,3310,64,7443,133,21197,277,43173,458,61224,797,61224,797,0,0,South,7,3017804,126000000,2.028759986,0.026409933
California,6,9857,212,52318,2147,115643,4287,239764,6168,509507,9365,714663,13046,714663,13046,0,0,West,9,39512223,78347268,1.808713724,0.033017631
Colorado,8,3346,80,15661,818,26563,1458,33012,1697,47357,1846,57930,1953,,,,,West,8,5758736,78347268,1.005949917,0.033913692
Connecticut,9,3557,85,28764,2339,42740,3964,46572,4324,49810,4432,53006,4466,,,,,Northeast,1,3565287,55982803,1.486724631,0.125263408
Delaware,10,368,11,4918,159,9605,368,11510,509,14877,585,17535,605,,,,,South,5,973764,126000000,1.800744328,0.062130044
District of Columbia,11,586,11,4658,231,8857,468,10365,553,12205,585,14049,607,14049,607,0,0,South,5,705749,126000000,1.990651067,0.086007915
Florida,12,7769,100,34720,1313,56822,2459,158989,3549,480020,7021,631032,11373,0,11373,631032,0,South,5,21477737,126000000,2.938074901,0.052952506
Georgia,13,4747,154,26436,1153,45757,2057,79589,2779,174834,3744,256544,5604,256544,5604,0,0,South,5,10617423,126000000,2.416254867,0.052781169
Guam,66,147,3,1115,6,1144,6,1240,6,1328,6,2416,14,2408,14,8,0,Territory,10,165768,3520769,1.457458617,0.008445538
Hawaii,15,258,1,610,16,642,17,909,18,2174,25,8447,69,,,,,West,9,1415872,78347268,0.596593477,0.004873322
